mtime,name,ext,size,tags,extraction,path,doc_id,web_url,sha256
2026-04-28T06:05:06,intelligence-report.md,.md,6624,,text readable chars=6536,/home/malhefdi/repos/Pure-Advance-Command-Center-/public/intelligence-report.md,,,daa8adf7b4983a67f0e1ae4647ad7fad6315e9f1d526a915506b23dd0d6a9a71
2026-04-28T06:03:37,crm-seed-data.ts,.ts,11999,,text readable chars=11723,/home/malhefdi/repos/Pure-Advance-Command-Center-/src/lib/crm-seed-data.ts,,,018e05624fc380b3ba95bd69857a2678b386a5b0ca3a40b534b6e9aa2d0d56c6
2026-04-09T02:02:58,pure_advance_feasibility_study_optimised.docx,.docx,22636,feasibility,extracted docx text chars=13261,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/pure_advance_feasibility_study_optimised.docx,,,708e8b3545ff59fe7f39c7af6008d79995805e5e43fe1ddcc3c1c343c470f230
2026-02-17T00:12:28,Competitive Intelligence Report.gvid,.gvid,179,competitors,google shortcut only; requires Drive API/export,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/Competitive Intelligence Report.gvid,1IWvkQFb-008b6rjXCIomc1t8IzagxkOsufasmq1sOyQ,1IWvkQFb-008b6rjXCIomc1t8IzagxkOsufasmq1sOyQ,
2026-02-16T21:33:42,Competitive Intelligence Report (1).gvid,.gvid,179,competitors,google shortcut only; requires Drive API/export,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/Competitive Intelligence Report (1).gvid,1-_IWKLy1_eLmTpSIWOZowbU8L65-DsO1qNG8vAy5eF4,1-_IWKLy1_eLmTpSIWOZowbU8L65-DsO1qNG8vAy5eF4,
2026-02-16T21:31:59,Competitive Intelligence Report.gslides,.gslides,179,competitors,google shortcut only; requires Drive API/export,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/Competitive Intelligence Report.gslides,1AzGVIZAy9xZ5w7l6Di9qlzIL8V4Eh_C1s69Uo0mXaCw,https://docs.google.com/presentation/d/1AzGVIZAy9xZ5w7l6Di9qlzIL8V4Eh_C1s69Uo0mXaCw/edit,
2026-02-16T21:26:28,Coolvex-Competitive-Intelligence-Feb2026.gslides,.gslides,179,coolvex;competitors,google shortcut only; requires Drive API/export,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/Coolvex-Competitive-Intelligence-Feb2026.gslides,1oNtOC0C_0UTZ1s6UvJ9Ra_2DBk3ArBmWEwdfOOx7520,https://docs.google.com/presentation/d/1oNtOC0C_0UTZ1s6UvJ9Ra_2DBk3ArBmWEwdfOOx7520/edit,
2025-12-18T01:27:57,Pure_Advance_Competitive_Intelligence_Database_Updated.md,.md,29323,competitors,text readable chars=29315,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/v2/D.L/Pure_Advance_Competitive_Intelligence_Database_Updated.md,,,6b73955467b430d8c7b7e7fb41d463dfa057dda7f1689bc86b7ece827ce83c06
2025-12-17T23:19:42,Licensed Pharmacies List.xlsx,.xlsx,431709,pharmacies,extracted 1 sheets,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/v1/Shared/Licensed Pharmacies List.xlsx,,,b35d1cf5e3c6f955ebb517ad8378783b946a1c264a7443f2f98c6ba57d1b8507
2025-12-16T23:52:26,Coolvex Target.gsheet,.gsheet,179,coolvex,google shortcut only; requires Drive API/export,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/v1/Cosmomedicine/Coolvex Target.gsheet,1-jNAqOaWC8iznFJ7G_Mow7oiTO3iYvvaP7aU-FJzjIE,https://docs.google.com/spreadsheets/d/1-jNAqOaWC8iznFJ7G_Mow7oiTO3iYvvaP7aU-FJzjIE/edit,
2025-12-15T19:02:10,Coolvex Y1 Pharmacy Target.gslides,.gslides,179,coolvex;pharmacies,google shortcut only; requires Drive API/export,/mnt/c/Users/graci/My Drive (m.alhefdi@pureadvance.sa)/v1/Shared/Coolvex Y1 Pharmacy Target.gslides,18EtEpo5ty1Wa4STzY_nwOPGfis8rPwwx9qj0uhR8VL8,https://docs.google.com/presentation/d/18EtEpo5ty1Wa4STzY_nwOPGfis8rPwwx9qj0uhR8VL8/edit,
